SRB5	GAL11
SRB5	MED1
SRB4	MED11
SRB4	SRB5
SRB4	SRB2
SRB4	MED8
SRB4	MED6
SRB4	GAL11
RAD18	MGS1
RAD18	UBC9
RAD18	RAD17
RAD18	RAD9
RAD18	SIZ1
RAD18	RAD5
CMD1	MYO5
CMD1	ARC35
CMD1	SPC110
SED4	SEC16
TRF5	MTR4
TRF5	POL2
TAF7	BDF1
TAF7	TAF5
TLG2	VPS54
TLG2	ARF1
PRP9	PRP11
YOR1	PDR5
STP22	SRN2
STP22	VPS28
VPS35	VPS17
VPS35	PEP1
RAD2	MSH2
GDI1	VPS21
GDI1	YPT7
GDI1	YPT31
GDI1	YPT32
GDI1	SEC4
GDI1	YPT1
GDI1	YPT10
CSE2	MED4
CSE2	SIN4
CSE2	MED8
CSE2	RTT109
COG1	COG2
COG1	COG3
RFS1	PST2
SAC3	CDC31
TPD3	RRD2
VTI1	VAM7
VTI1	PEP12
VTI1	ENT3
VTI1	YKT6
NUT1	SIN4
SEC24	SEC16
TFC1	TFC3
TFC1	TFC4
TFC1	TFC6
TFC1	TFC7
CAF4	MDV1
ARL1	MON2
ARL1	GET2
NBP2	PTC1
MLP1	MLP2
MLP1	YRA1
MET30	MET4
MET30	CDC53
MET30	CDC34
MET30	SKP1
SNX41	SNX4
TLG1	SNC2
TLG1	TLG2
TLG1	VTI1
TLG1	PEP12
TLG1	VPS51
ATG18	VAC17
ATG18	VAC14
GCN2	HSP82
GCN2	GCN1
GCN2	GCD7
GCN2	GCN20
GCN2	GCN4
GCN2	GCD2
GCN2	GCN3
MYO3	MYO5
HHF2	ASF1
SEC61	SSH1
SEC61	SEC63
SEC61	SBH1
AIR2	NPL3
TAF6	TAF7
TAF6	SPT3
TAF6	TAF8
TAF6	NGG1
TAF6	SPT8
TAF6	ADA2
TAF6	TAF12
TAF6	SPT20
TAF6	TAF5
POL1	SPT16
POL1	CTF4
HHT2	HHT1
HHT2	HHF2
HHT2	HHF1
HHT2	ASF1
HHT2	PSE1
SAP30	VRP1
SAP30	YAF9
SAP30	LGE1
SAP30	SWR1
SAP30	GET2
SAP30	BRE1
SAP30	RPN10
SAP30	ARP6
SAP30	SET2
PEX14	PEX17
PEX14	PEX5
PEX14	PEX13
PEX14	PEX12
TIF35	TIF34
TIF35	RPG1
TIF35	HCR1
CDC55	PPH21
CDC55	PPH22
ATG12	ATG3
IPL1	BIR1
IPL1	SLI15
SNF4	SIP1
MET4	MET28
MET4	MET31
POL32	RAD50
POL32	RAD24
POL32	RAD17
POL32	UBP3
POL32	XRS2
POL32	RAD52
POL32	RAD51
POL32	RAD9
POL32	RAD54
POL32	RAD55
POL32	DDC1
POL32	EAF1
POL32	MSI1
POL32	POL30
MCM3	MCM7
PRP19	SNU114
PRP19	CEF1
PRP19	ISY1
PRP19	CLF1
PRP19	SYF2
PRP19	NTC20
PRP19	SNT309
PRP19	IST3
PRP19	SYF1
KOG1	TOR1
RIF1	RIF2
DEP1	LGE1
DEP1	BRE1
INO2	OPI1
SPC34	DAD1
SPC34	SPC19
MEP2	MEP3
CHK1	DUN1
DPB2	DPB4
DPB2	POL2
DPB2	DPB11
SIR3	SIR1
SIR3	HHT1
SIR3	RAP1
SIR3	HHF2
SIR3	HHT2
SIR3	HHF1
SLD3	DPB11
KIC1	CDC31
MOB1	MPS1
RRP45	SKI6
CDC28	CLN1
CDC28	FAR1
CDC28	CAK1
CDC28	CLB4
CDC28	RPN3
CDC28	CDC6
CDC28	SWE1
CDC28	ELM1
CDC28	CDC37
CDC28	CLN2
CDC28	CKS1
CDC28	CDC7
CDC28	CDC5
CDC28	CDC23
CDC28	SIC1
NUP85	SEH1
NUP85	NUP120
NUP85	NUP84
NUP85	MEX67
CDH1	CDC28
CDH1	CLB2
CDH1	ACM1
CDH1	HSL1
SPF1	GET1
LSM7	PRP24
LSM7	PRP4
LSM7	LSM6
LSM7	LSM3
LSM7	LSM4
LSM7	LSM1
LSM7	PAT1
VMA2	TFP1
VMA2	VMA10
SLM1	SLM2
UBI4	RAD23
UBI4	VPS27
UBI4	DSK2
NSP1	NUP159
NSP1	NUP82
NSP1	NIC96
NSP1	NUP57
UBC9	POL30
ZIP1	RED1
ZIP1	PCH2
MYO1	IQG1
MYO1	MLC1
MYO1	MLC2
KAR1	SPC72
OAF1	PIP2
NRD1	NAB3
YBP1	YAP1
RAD50	MRE11
RAD50	RLF2
RAD50	NUP60
RAD50	RRM3
RAD50	SWD3
RAD50	BRE1
RAD50	CLB2
RAD50	BRE2
RAD50	XRS2
RAD50	ELG1
RAD50	BIM1
SEC5	SEC3
SEC5	SEC6
BAS1	PHO2
BMH2	BMH1
BMH2	PIK1
DPB4	ISW2
DPB4	POL2
GMH1	GEA1
SWC3	EAF5
SWC3	BRE1
ATG14	VPS30
TAT2	TRP1
SSC1	TIM23
SSC1	MDJ1
SSC1	TIM17
SSC1	MGE1
UBX7	CDC48
INP52	BSP1
INP52	INP53
SEC14	KES1
SEC14	CKI1
ALF1	TUB3
ALF1	TUB1
POP7	POP6
