#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:26397|GRID:204951	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Map2k3|entrez gene/locuslink:RP23-467E19.1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:MKK3(gene name synonym)|entrez gene/locuslink:MEK3(gene name synonym)|entrez gene/locuslink:AW212142(gene name synonym)|entrez gene/locuslink:Prkmk3(gene name synonym)|entrez gene/locuslink:mMKK3b(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117025	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:74137|GRID:216519	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Nuak2	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:Snark(gene name synonym)|entrez gene/locuslink:mKIAA0537(gene name synonym)|entrez gene/locuslink:Omphk2(gene name synonym)|entrez gene/locuslink:1200013B22Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117026	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:16589|GRID:200956	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Uhmk1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:Kist(gene name synonym)|entrez gene/locuslink:KIS(gene name synonym)|entrez gene/locuslink:AU021979(gene name synonym)|entrez gene/locuslink:4930500M09Rik(gene name synonym)|entrez gene/locuslink:AI449218(gene name synonym)|entrez gene/locuslink:4732477C12Rik(gene name synonym)|entrez gene/locuslink:AA673513(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117027	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:73341|GRID:215941	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Arhgef6|entrez gene/locuslink:RP23-372E6.1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:alpha-PIX(gene name synonym)|entrez gene/locuslink:4930592P22Rik(gene name synonym)|entrez gene/locuslink:1600028C08Rik(gene name synonym)|entrez gene/locuslink:1700038J06Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117028	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:50780|GRID:206112	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rgs3|entrez gene/locuslink:RP23-47N2.1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:4930506N09Rik(gene name synonym)|entrez gene/locuslink:C2pa(gene name synonym)|entrez gene/locuslink:PDZ-RGS3(gene name synonym)|entrez gene/locuslink:C2PA-RGS3(gene name synonym)|entrez gene/locuslink:RGS3S(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117029	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:16876|GRID:201161	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Lhx9	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:BB104635(gene name synonym)|entrez gene/locuslink:LH2B(gene name synonym)|entrez gene/locuslink:3110009O07Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117030	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:66854|GRID:211764	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Trim35	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:A430106H13Rik(gene name synonym)|entrez gene/locuslink:0710005M05Rik(gene name synonym)|entrez gene/locuslink:Mair(gene name synonym)|entrez gene/locuslink:HLS5(gene name synonym)|entrez gene/locuslink:AW046487(gene name synonym)|entrez gene/locuslink:mKIAA1098(gene name synonym)|entrez gene/locuslink:NC8(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117031	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:66894|GRID:211793	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Wwp2	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:AW554328(gene name synonym)|entrez gene/locuslink:AA690238(gene name synonym)|entrez gene/locuslink:AIP2(gene name synonym)|entrez gene/locuslink:1300010O06Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117032	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:80837|GRID:219817	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rhoj	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:1110005O19Rik(gene name synonym)|entrez gene/locuslink:Arhj(gene name synonym)|entrez gene/locuslink:TC10L(gene name synonym)|entrez gene/locuslink:AW210585(gene name synonym)|entrez gene/locuslink:TCL(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117033	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:11854|GRID:198198	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rhod	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:Arhd(gene name synonym)|entrez gene/locuslink:RhoHP1(gene name synonym)|entrez gene/locuslink:Rho(gene name synonym)|entrez gene/locuslink:RhoM(gene name synonym)|entrez gene/locuslink:AI326383(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117034	-
